speaker	language	word_number	word	spontaneous_response	uncued	cue_semantic_correct	cue_semantic_incorrect	cue_phonemic_correct	cue_phonemic_incorrect
sub_04	english	46	nurse		x				
sub_04	english	47	cage		x				
sub_04	english	48	arrow		x				
sub_04	english	49	rake		x				
sub_04	english	50	saw		x				
sub_04	english	51	nest		x				
sub_04	english	52	plug		x				
sub_04	english	53	wig		x				
sub_04	english	54	screw	nail, thorn			x		x
sub_04	english	55	king		x				
sub_04	english	56	scarf		x				
sub_04	english	57	well		x				
sub_04	english	58	dustpan	dusty			x	x	
sub_04	english	59	parachute		x				
sub_04	english	60	blind		x				
sub_04	english	61	hinge	DK					x
sub_04	english	62	funnel		x				
sub_04	english	63	gauge, barometer, manometer	DK					x
sub_04	english	64	porthole	DK					x
sub_04	english	65	anvil	iron mat, DK			x		x
sub_04	english	66	mortar	mixing bowl, DK			x		x
sub_04	english	67	pestle	DK			x		x
sub_04	english	68	axle	DK					x
sub_04	spanish	1	mano		x				
sub_04	spanish	2	perro		x				
sub_04	spanish	3	árbol		x				
sub_04	spanish	4	cama		x				
sub_04	spanish	5	puerta		x				
sub_04	spanish	6	sol		x				
sub_04	spanish	7	libro		x				
sub_04	spanish	8	mariposa		x				
sub_04	spanish	9	tijeras		x				
sub_04	spanish	10	llave		x				
sub_04	spanish	11	silla		x				
sub_04	spanish	12	luna		x				
sub_04	spanish	13	avión		x				
sub_04	spanish	14	manzana		x				
sub_04	spanish	15	pescado, pez		x				
sub_04	spanish	16	uvas		x				
sub_04	spanish	17	caballo		x				
sub_04	spanish	18	tambor		x				
sub_04	spanish	19	guante		x				
sub_04	spanish	20	foco, bombilla		x				
sub_04	spanish	21	pastel, tarta		x				
sub_04	spanish	22	reloj		x				
sub_04	spanish	23	oso		x				
sub_04	spanish	24	tenedor		x				
sub_04	spanish	25	sombrero		x				
sub_04	spanish	26	hoja		x				
sub_04	spanish	27	corbata		x				
sub_04	spanish	28	vela		x				
sub_04	spanish	29	canasta, cesta		x				
sub_04	spanish	30	payaso		x				
sub_04	spanish	31	papalote, cometa, barrilete	papalote 	x				
sub_04	spanish	32	arco iris		x				
sub_04	spanish	33	bruja		x				
sub_04	spanish	34	subibaja, balancín, columpio					x	
sub_04	spanish	35	linterna, lámpara portátil	bateria, linterna				x	
sub_04	spanish	36	nube		x				
sub_04	spanish	37	plancha		x				
sub_04	spanish	38	pluma		x				
sub_04	spanish	39	pavo real		x				
sub_04	spanish	40	puente		x				
sub_04	spanish	41	hueso		x				
sub_04	spanish	42	caracol	babosa				x	
sub_04	spanish	43	zíper, cierre, cremallera	ziper	x				
sub_04	spanish	44	candado		x				
sub_04	spanish	45	ballena		x				
sub_04	spanish	46	enfermera		x				
sub_04	spanish	47	jaula		x				
sub_04	spanish	48	flecha		x				
sub_04	spanish	49	rastrillo	escoba, raka de ojas, 					x
sub_04	spanish	50	serrucho, sierra		x				
sub_04	spanish	51	nido		x				
sub_04	spanish	52	enchufe	coneccion de luz				x	
sub_04	spanish	53	peluca		x				
sub_04	spanish	54	tornillo	clavo				x	
sub_04	spanish	55	rey		x				
sub_04	spanish	56	bufanda		x				
sub_04	spanish	57	pozo	pozillo				x	
sub_04	spanish	58	recogedor	rake,DK					x
sub_04	spanish	59	paracaídas		x				
sub_04	spanish	60	persiana	cortina, DK			x		x
sub_04	spanish	61	bisagra	billar, DK					x
sub_04	spanish	62	embudo	DK					x
sub_04	spanish	63	medidor, barómetro, calibrador, manOmetro	medidor		x			
sub_04	spanish	64	portilla	ventana, DK					x
sub_04	spanish	65	yunque	placa de iron, DK					x
sub_04	spanish	66	 molcajete, mortero	mueladora, molir, DK					x
sub_04	spanish	67	mano de mortero	manejilla					x
sub_04	spanish	68	eje	DK					x
sub_05	english	1	hand		x				
sub_05	english	2	dog		x				
sub_05	english	3	tree		x				
sub_05	english	4	bed		x				
sub_05	english	5	door		x				
sub_05	english	6	sun		x				
sub_05	english	7	book		x				
sub_05	english	8	butterfly		x				
sub_05	english	9	scissors		x				
sub_05	english	10	key		x				
sub_05	english	11	chair		x				
sub_05	english	12	moon		x				
sub_05	english	13	airplane		x				
sub_05	english	14	apple		x				
sub_05	english	15	fish		x				
sub_05	english	16	grapes		x				
sub_05	english	17	horse		x				
sub_05	english	18	drum		x				
sub_05	english	19	glove		x				
sub_05	english	20	lightbulb		x				
sub_05	english	21	cake		x				
sub_05	english	22	watch		x				
sub_05	english	23	bear		x				
sub_05	english	24	fork		x				
sub_05	english	25	hat		x				
sub_05	english	26	leaf		x				
sub_05	english	27	tie		x				
sub_05	english	28	candle		x				
sub_05	english	29	basket		x				
sub_05	english	30	clown		x				
sub_05	english	31	kite		x				
sub_05	english	32	rainbow		x				
sub_05	english	33	witch		x				
sub_05	english	34	seesaw		x				
sub_05	english	35	flashlight		x				
sub_05	english	36	cloud		x				
sub_05	english	37	iron		x				
sub_05	english	38	feather		x				
sub_05	english	39	peacock		x				
sub_05	english	40	bridge		x				
sub_05	english	41	bone		x				
sub_05	english	42	snail		x				
sub_05	english	43	zipper		x				
sub_05	english	44	lock		x				
sub_05	english	45	whale		x				
sub_05	english	46	nurse		x				
