"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"167"	"sub_36"	"female"	1188.084	"disf"	"cses_06"	"t"	"teapot"	NA	79.8562010295427	"cs"	"one"	"english"	"VOT"	NA
"168"	"sub_36"	"female"	1212.556	NA	"cses_01"	"p"	"peaches"	NA	60.3870246159204	"cs"	"one"	"english"	"VOT"	NA
"169"	"sub_36"	"female"	1217.06	NA	"cses_09"	"k"	"keepsake"	NA	60.6720553505511	"cs"	"one"	"english"	"VOT"	NA
"170"	"sub_36"	"female"	1220.708	NA	"cses_12"	"k"	"cockroach"	NA	69.196408212747	"cs"	"one"	"english"	"VOT"	NA
"171"	"sub_36"	"female"	1224.804	"disf"	"cses_11"	"k"	"carpet"	NA	74.9927251090412	"cs"	"one"	"english"	"VOT"	NA
"172"	"sub_36"	"female"	1234.148	"disf"	"cses_26"	"p"	"pavo"	NA	9.4779323376315	"cs"	"two"	"spanish"	"VOT"	NA
"173"	"sub_36"	"female"	1244.028	NA	"cses_25"	"p"	"pato"	NA	8.15695373171366	"cs"	"two"	"spanish"	"VOT"	NA
"174"	"sub_36"	"female"	1248.436	NA	"cses_02"	"p"	"peacock"	NA	41.8502508589427	"cs"	"one"	"english"	"VOT"	NA
"175"	"sub_36"	"female"	1258.972	NA	"cses_19"	"k"	"quicio"	NA	40.7811754146223	"cs"	"two"	"spanish"	"VOT"	NA
"176"	"sub_36"	"female"	1263.436	NA	"cses_28"	"p"	"piso"	NA	12.0742872411483	"cs"	"two"	"spanish"	"VOT"	NA
"177"	"sub_36"	"female"	1267.444	NA	"cses_10"	"k"	"keyboard"	NA	69.8201549062105	"cs"	"one"	"english"	"VOT"	NA
"178"	"sub_36"	"female"	1274.252	"disf"	"cses_17"	"k"	"caja"	NA	24.0146341411673	"cs"	"two"	"spanish"	"VOT"	NA
"179"	"sub_36"	"female"	1280.87629457072	NA	"cses_18"	"k"	"cama"	NA	17.0192902512554	"cs"	"two"	"spanish"	"VOT"	NA
"180"	"sub_36"	"female"	1284.812	NA	"cses_08"	"t"	"toffee"	"disf"	88.8543549588121	"cs"	"one"	"english"	"VOT"	NA
"181"	"sub_36"	"female"	1288.364	NA	"cses_07"	"t"	"toddler"	NA	68.2781414827787	"cs"	"one"	"english"	"VOT"	NA
"182"	"sub_36"	"female"	1292.068	NA	"cses_03"	"p"	"pocket"	NA	54.2234418537646	"cs"	"one"	"english"	"VOT"	NA
"183"	"sub_36"	"female"	1296.668	"disf"	"cses_27"	"p"	"pinzas"	NA	11.8581076842474	"cs"	"two"	"spanish"	"VOT"	NA
"184"	"sub_36"	"female"	1302.036	NA	"cses_22"	"t"	"taza"	NA	13.3672742056206	"cs"	"two"	"spanish"	"VOT"	NA
"185"	"sub_36"	"female"	1305.788	NA	"cses_05"	"t"	"teacher"	NA	55.8310131921189	"cs"	"one"	"english"	"VOT"	NA
